"Date","Actual_Cases","Auto_ARIMA","Avg_Forecast"
2021-01-01,677589,675766,675714
2021-01-02,685122,684246,683984
2021-01-03,690900,692435,692025
2021-01-04,696063,700522,700036
2021-01-05,706154,708575,708044
2021-01-06,713840,716615,716050
2021-01-07,723630,724650,724055
2021-01-08,736926,732684,732058
2021-01-09,748852,740718,740061
2021-01-10,757045,748752,748064
2021-01-11,764499,756785,756067
2021-01-12,773692,764818,764069
2021-01-13,782288,772852,772072
2021-01-14,791324,780885,780075
2021-01-15,801130,788918,788078
2021-01-16,809663,796952,796081
2021-01-17,815995,804985,804084
2021-01-18,820952,813018,812087
2021-01-19,828444,821052,820090
2021-01-20,836649,829085,828092
2021-01-21,844799,837119,836095
2021-01-22,853173,845152,844098
2021-01-23,862158,853185,852101
2021-01-24,866911,861219,860104
2021-01-25,870828,869252,868107
2021-01-26,879221,877285,876110
2021-01-27,885605,885319,884113
2021-01-28,892957,893352,892115
2021-01-29,899515,901385,900118
2021-01-30,905858,909419,908121
2021-01-31,909445,917452,916124
2021-02-01,912479,925486,924127
2021-02-02,917440,933519,932130
2021-02-03,922364,941552,940133
2021-02-04,928070,949586,948135
2021-02-05,932912,957619,956138
2021-02-06,937402,965652,964141
2021-02-07,940991,973686,972144
2021-02-08,943695,981719,980147
2021-02-09,947416,989752,988150
2021-02-10,950906,997786,996153